S.No.	 Experimental_Method 	Organism	 Cell_Type/Tissue 	 Genome_Version 	 Disease/Target_Pathway 	Samples	Replicates	PMID	 Publication_Journal 	 Publication_Year 	GSE	GSM	TF/Histone_Mark	 Cistrome_ID 	KEGG_ID	Metadata
11	ChIP-Seq	 Homo  sapiens 	Dld1 Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283772	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
12	ChIP-Seq	 Homo  sapiens 	Sa Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283773	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
13	ChIP-Seq	 Homo  sapiens 	Sph Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283774	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
14	ChIP-Seq	 Homo  sapiens 	Mets Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283775	H3K79me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
15	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101436	FXR1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2017"
16	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101437	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2018"
17	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752893	STAT1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2019"
18	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101438	H3K9me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2020"
19	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2101439	H3K27me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2021"
20	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752894	STAT3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2022"
21	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752897	FXR1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2023"
22	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752898	FXR2	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2024"
23	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752899	STAT1	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2025"
24	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752900	STAT3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2026"
25	ChIP-Seq	 Homo  sapiens 	"Ags, Gastric Cancer Cell Line"	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752901	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2027"
26	ChIP-Seq	 Homo  sapiens 	"H358, Gastric  Cancer  Cell  Line "	hg19	 Gastric  Cancer 	15	!	28767039	Elife	2017	GSE79707	GSM2752895	H3K4me3	85567	map05226	"Fan  Y,  et  al.  FXR1  regulates  transcription  and  is  required  for  growth  of  human  cancer  cells  with  TP53/FXR2  homozygous  deletion.  Elife  2028"
27	ChIP-Seq	 Homo  sapiens 	Du145  Prostate Cancer Cell Line	hg19	Prostate adenocarcinoma	3	!	28119415	 Nucleic  Acids  Research 	2017	GSE86238	GSM2298950	ETS2	74508	map05215	"Plotnik  JP,  et  al.  Interaction  with  ZMYND11  mediates  opposing  roles  of  Ras-responsive  transcription  factors  ETS1  and  ETS2.  Nucleic  Acids  Res.  2017"
28	DNase Hypersensitivity	 Homo  sapiens 	C31 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058015	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
29	DNase Hypersensitivity	 Homo  sapiens 	C31 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058016	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
30	DNase Hypersensitivity	 Homo  sapiens 	C36 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058017	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
31	DNase Hypersensitivity	 Homo  sapiens 	V389 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058018	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
32	DNase Hypersensitivity	 Homo  sapiens 	V410 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058019	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
33	DNase Hypersensitivity	 Homo  sapiens 	V576 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058020	!	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2017"
34	ChIP-Seq	 Homo  sapiens 	C28 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058021	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2018"
35	ChIP-Seq	 Homo  sapiens 	C29 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058022	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2019"
36	ChIP-Seq	 Homo  sapiens 	C37 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058023	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2020"
37	ChIP-Seq	 Homo  sapiens 	Crypt5 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058024	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2021"
38	ChIP-Seq	 Homo  sapiens 	COLO205 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058025	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2022"
39	ChIP-Seq	 Homo  sapiens 	HCT116 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058026	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2023"
40	ChIP-Seq	 Homo  sapiens 	SW480 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058027	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2024"
41	ChIP-Seq	 Homo  sapiens 	V1009 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058028	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2025"
42	ChIP-Seq	 Homo  sapiens 	V1024 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058029	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2026"
43	ChIP-Seq	 Homo  sapiens 	V1051 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058030	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2027"
44	ChIP-Seq	 Homo  sapiens 	V1058 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058031	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2028"
45	ChIP-Seq	 Homo  sapiens 	V1074 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058032	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2029"
46	ChIP-Seq	 Homo  sapiens 	V1106 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058033	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2030"
47	ChIP-Seq	 Homo  sapiens 	V206 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058034	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2031"
48	ChIP-Seq	 Homo  sapiens 	V389 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058035	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2032"
49	ChIP-Seq	 Homo  sapiens 	V410 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058036	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2033"
50	ChIP-Seq	 Homo  sapiens 	V411 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058037	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2034"
51	ChIP-Seq	 Homo  sapiens 	V429 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058038	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2035"
52	ChIP-Seq	 Homo  sapiens 	V432 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058039	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2036"
53	ChIP-Seq	 Homo  sapiens 	V456 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058040	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2037"
54	ChIP-Seq	 Homo  sapiens 	V457 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058041	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2038"
55	ChIP-Seq	 Homo  sapiens 	V481 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058042	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2039"
56	ChIP-Seq	 Homo  sapiens 	V5 Colorectal Cancer Cell Line 	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058043	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2040"
57	ChIP-Seq	 Homo  sapiens 	V576 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058044	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2041"
58	ChIP-Seq	 Homo  sapiens 	V703 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058045	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2042"
59	ChIP-Seq	 Homo  sapiens 	V784 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058046	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2043"
60	ChIP-Seq	 Homo  sapiens 	V852 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058047	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2044"
61	ChIP-Seq	 Homo  sapiens 	V855 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058048	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2045"
62	ChIP-Seq	 Homo  sapiens 	V866 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058049	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2046"
63	ChIP-Seq	 Homo  sapiens 	V940 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058050	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2047"
64	ChIP-Seq	 Homo  sapiens 	V968 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058051	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2048"
65	ChIP-Seq	 Homo  sapiens 	V968 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058052	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2049"
66	ChIP-Seq	 Homo  sapiens 	V9P Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058053	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2050"
67	ChIP-Seq	 Homo  sapiens 	CRC_17A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058054	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2051"
68	ChIP-Seq	 Homo  sapiens 	CRC_23A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058055	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2052"
69	ChIP-Seq	 Homo  sapiens 	CRC_6A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058056	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2053"
70	ChIP-Seq	 Homo  sapiens 	CRC_7A Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058057	H3K27ac	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2054"
71	ChIP-Seq	 Homo  sapiens 	C28 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058058	H3K27me3	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2055"
72	ChIP-Seq	 Homo  sapiens 	V410 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058059	H3K27me3	66799	map05010	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2056"
73	ChIP-Seq	 Homo  sapiens 	C28 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058060	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2057"
74	ChIP-Seq	 Homo  sapiens 	C29 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058061	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2058"
75	ChIP-Seq	 Homo  sapiens 	C37 Colorectal Cancer Cell Line	hg19	 Colorectal  cancer 	139	!	28169291	 Nature  Communications 	2017	GSE77737	GSM2058062	H3K4me1	66799	map05210	"Cohen  AJ,  et  al.  Hotspots  of  aberrant  enhancer  activity  punctuate  the  colorectal  cancer  epigenome.  Nat  Commun  2059"
